Id,SalePrice
1461,116736.31883894175
1462,151922.6274370622
1463,172780.63163113978
1464,199311.4054139586
1465,195766.22415607993
1466,181935.57287963748
1467,199959.91585470538
1468,171767.27132746193
1469,206986.6876628684
1470,113569.74508120131
1471,205118.76650970674
1472,118782.09454648837
1473,99262.28490910225
1474,149980.3345546472
1475,118470.5449006384
1476,312912.2271080975
1477,245959.98734191793
1478,291077.8608458453
1479,270985.0265946317
1480,403465.25145747897
1481,292639.71762056544
1482,216564.1900052213
1483,176970.80431503768
1484,174800.27929999598
1485,197406.0642813422
1486,209424.72070839943
1487,284862.23174006573
1488,257935.27247369767
1489,184417.69962132035
1490,230589.4842059809
1491,211356.93862062518
1492,88161.18885841023
1493,217209.5190511801
1494,288921.519755846
1495,276756.03663422156
1496,222567.9937819488
1497,169506.0810208806
1498,155881.53382856713
1499,162577.01524289313
1500,154195.19150883926
1501,200860.0942769003
1502,142839.24452493933
1503,276572.64515794266
1504,247004.99915791664
1505,225278.43782045122
1506,206260.0459296744
1507,249313.98359324492
1508,205552.9299191347
1509,153415.81005779875
1510,145438.74165608233
1511,145725.6697509311
1512,189706.20640802186
1513,166405.82828047208
1514,155164.88038394356
1515,226571.36874880514
1516,169862.7891205327
1517,174846.48972383386
1518,122993.0893528011
1519,246462.14692024083
1520,129741.79245391267
1521,122709.22649286722
1522,202133.6206201726
1523,85049.72824334109
1524,113091.63312314649
1525,101588.9921042776
1526,88642.3208021567
1527,93730.61847468338
1528,155161.18628878158
1529,127058.13314887078
1530,236683.72072392062
1531,149364.53759127983
1532,112240.25483632076
1533,149209.89546061226
1534,129728.26594680164
1535,155973.90881207597
1536,106346.08334545547
1537,26416.358021384687
1538,186978.4631170769
1539,231616.8623967237
1540,109794.06910802482
1541,155164.98006175307
1542,140019.30169452738
1543,196250.22372715187
1544,75747.02737507306
1545,134374.18088763196
1546,137070.34763263247
1547,143697.99656492693
1548,139743.61682909203
1549,124590.84122906171
1550,123624.13174873253
1551,132884.9837085941
1552,129411.08471104351
1553,159271.2739132893
1554,125683.48661517876
1555,168151.0394278277
1556,76836.02397699293
1557,89571.30337865523
1558,92917.74574862362
1559,70875.96912639902
1560,126652.71779715468
1561,126592.18038743257
1562,117992.36055637
1563,118155.5070086337
1564,152637.36501308426
1565,133680.43776220817
1566,246352.83118377405
1567,59630.22396734671
1568,225678.02243562194
1569,92034.1655866307
1570,145820.91656918207
1571,111693.73164115415
1572,140716.8998084854
1573,253882.78948160924
1574,118944.32853334758
1575,243662.2461170036
1576,246484.34397358552
1577,199124.35084300407
1578,147344.61570028646
1579,133812.61182703462
1580,209413.69512943516
1581,143009.82417982828
1582,122741.64111856988
1583,307456.4423144817
1584,228817.36679452506
1585,156650.06561774842
1586,46623.31957747566
1587,97046.81024918205
1588,148666.6177473556
1589,99618.15469790075
1590,135577.96852258535
1591,68621.97846487409
1592,134737.56916777708
1593,137561.7215456682
1594,128173.39802872587
1595,117267.64071042661
1596,221753.294779088
1597,174290.53307077533
1598,204055.39458343352
1599,198615.22767990513
1600,185511.8733482476
1601,26279.737656714045
1602,122329.8705525113
1603,56505.68426050141
1604,258203.1019390385
1605,261237.2930312889
1606,175990.45067759824
1607,173921.06684535567
1608,222417.6071337884
1609,196883.69488501444
1610,152844.48145521
1611,158261.2003416078
1612,165562.6976396927
1613,172059.36023085064
1614,129504.76687710884
1615,65017.59211574413
1616,44585.1482846929
1617,64414.83649863757
1618,111194.98532201897
1619,149714.25788801478
1620,176602.65559292387
1621,133106.97739000537
1622,130190.2565693456
1623,265209.254438616
1624,211290.83026641922
1625,119558.6521112817
1626,195921.0113656512
1627,193960.32856602926
1628,280960.93612224056
1629,194274.2741208659
1630,325368.77480406646
1631,216665.70666571503
1632,235789.13964370574
1633,187335.92271378828
1634,195943.59640887222
1635,187854.9902442422
1636,165062.66932879627
1637,198385.6723652804
1638,221980.112878186
1639,205355.16627530364
1640,271662.5698307604
1641,201747.71994620987
1642,228091.18774536095
1643,229806.3927608049
1644,234601.0220577622
1645,236140.0022672781
1646,178455.420055521
1647,173741.42947793874
1648,134711.16707114462
1649,136321.9808794016
1650,114788.00361907115
1651,109345.15075613052
1652,124092.07222079049
1653,123914.6595787169
1654,151966.61803417263
1655,151062.15333158296
1656,141761.37049073871
1657,155324.7884483736
1658,144870.71343332605
1659,135379.95052181726
1660,144587.73436457902
1661,377390.38112191815
1662,328551.638966766
1663,326820.6563263813
